Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,4.00000000000000077716e-02 with 64 bits of precision,1.75289548661420906142e+02 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,2.99999999999999988898e-02 with 64 bits of precision,2.3734057263282824074e+02 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,2.00000000000000038858e-02 with 64 bits of precision,6.30583346335524834392e+02 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.00000000000000088818e-02 with 64 bits of precision,3.34020472729947442514e+03 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.00000000000000002082e-02 with 64 bits of precision,3.34020472729947442514e+03 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,9.00000000000000105471e-03 with 64 bits of precision,3.34020621781762678548e+03 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,8.00000000000000016653e-03 with 64 bits of precision,3.34020801493128698456e+03 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,7.00000000000000014572e-03 with 64 bits of precision,5.11928145834970084316e+03 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,6.0000000000000001249e-03 with 64 bits of precision,5.11928274085844772046e+03 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,5.00000000000000010408e-03 with 64 bits of precision,5.11928423559972697543e+03 with 64 bits of precision]
